KEY;German;Englisch;French;Spain
inv_rush_8;Wie findest du sie? Ein Kunstwertk nicht wahr? Und hier...[pause=0.5] natürlich die Reisetickets. Also beeil dich lieber. Ich bin auf meine Fotos gespannt.;n/a;n/a;n/a
inv_scholle_1;[font=fnt_standard_bigitalic]OI![/font] Ich wusste, dass etwas in dir steckt, Grünschabel! Das wird ein tolles Geschäft!;n/a;n/a;n/a
inv_scholle_2;Er reibt sich die Hände.;n/a;n/a;n/a
inv_scholle_3;Scholle steht für Effektivität, Haltbarkeit und Effizienz! Deswegen möchte ich dir etwas mitgeben, das dir zur Erfoschung des Gebietes sicher nützlich sein wird!;n/a;n/a;n/a
inv_scholle_4;Er übergibt dir ein reißfestes Netz.;n/a;n/a;n/a
inv_scholle_5;Das Scholle RV7-Karbonnetz! Viel Spaß auf deiner Reise! Und bring dem alten Scholle etwas mit, ne?!;n/a;n/a;n/a
inv_wealth_1;Ich muss sagen, Jungspund... [pause=0.5]du hast mich tatsächlich dazu gebracht, dir auf deinem Weg zu helfen.;n/a;n/a;n/a
inv_wealth_2;Reise auf die Insel und sieh zu, dass du ordentliche Fotos machst! Vor allem, damit ich deine Reise bis ins Detail nachverfolgen kann...;n/a;n/a;n/a
inv_wealth_3;Er wirkt freundlicher.;n/a;n/a;n/a
inv_wealth_4;Ich hoffe, du wirst genauso viel Spaß haben wie ich damals. Denn ob du's glaubst oder nicht...[pause=0.5] in diesen alten Knochen steckt immer noch Abenteuergeist!!!;n/a;n/a;n/a
inv_wealth_5;Außerdem möchte ich dir etwas sehr Wichtiges anvertrauen.;n/a;n/a;n/a
inv_wealth_6;Er reicht dir ein altes ledernes Buch. Auf dem Einband kann man eine Fliege erkennen.;n/a;n/a;n/a
inv_wealth_7;Du wirst auf dieser Insel vielen Gefahren ins Auge sehen, aber auch viele neue Freunde kennenlernen.;n/a;n/a;n/a
inv_wealth_8;Dies hier wird dir helfen, dich nicht komplett zu verlieren.;n/a;n/a;n/a
inv_wealth_9;Ich wünsche dir viel Erfolg bei deiner Reise.;n/a;n/a;n/a
inv_crowd_1;Bei uns bist du richtig! Schließlich ist Erfolg unser größtes Ziel.;n/a;n/a;n/a
inv_crowd_2;Genauso wie es die Innovation ist! Es freut uns, bei deinem Vorhaben einzusteigen.;n/a;n/a;n/a
inv_crowd_3;Du solltest dich trotzdem gut vorbereiten.;n/a;n/a;n/a
inv_crowd_4;Um dir deine Reise zu erleichtern, möchten wir dir das hier mit auf den Weg geben. Ein neues Projekt der [font=fnt_standard_bigitalic][color=#006600]Crowd & Funding Gesellschaft[/color][/font]!;n/a;n/a;n/a
inv_crowd_5;Es steckt noch in den Kinderschuhen, deswegen ist es noch nicht auf dem Markt.;n/a;n/a;n/a
inv_crowd_6;Der Prototyp ist sehr empfindlich, aber er ist der Beste!;n/a;n/a;n/a
inv_crowd_7;Sie reichen dir eine Apparatur, die dich stark an ein Taschenmesser erinnert. [pause=0.5]Nur größer... [pause=0.5][font=fnt_standard_big]sehr viel größer...[/font];n/a;n/a;n/a
inv_crowd_8;Ein Multi-Survivaltool!;n/a;n/a;n/a
inv_crowd_9;Bevor wir es vergessen: hier hast du noch deine Tickets!;n/a;n/a;n/a
inv_crowd_10;Wir freuen uns auf deinen Fortschritt!;n/a;n/a;n/a
inv_7;Dein Investor reicht dir die Schiffstickets. Vergiss nicht, dir den Speichercode [color=#0000FF]aufzuschreiben[/font]!;n/a;n/a;n/a
notfall_0;Leider hast du etwas lange gebraucht. Du musst zurück zur Führung. ;;;
notfall_rush;Deine Unterstützerin Ravina Rush gibt dir noch schnell ihre modische Outdoorjacke und dein Schiffsticket. ;;;
notfall_scholle;Dein Unterstützer Leutnant Scholle gibt dir noch schnell sein reissfestes Netz und dein Schiffsticket. ;;;
notfall_rich;Dein Unterstützer Mr. Rich Wealth gibt dir noch schnell dein Schiffsticket.;;;
notfall_crowd;Deine Unterstützer Geschwister Crowd & Funding geben dir noch schnell ihr Multitool und dein Schiffsticket. ;;;
notfall_none;Aber die Geschwister Crowd & Funding sind so von dir überzeugt, dass sie dich unterstützen möchten. Sie geben dir ihr Multitool und dein Schiffsticket. ;;;
notfall_1;Vergiss nicht, dir den Speichercode [color=#0000FF]aufzuschreiben[/font]!;;;
